Country Name,Country Code,Year,Value
Argentina,ARG,2014,-2.51261532081394
Bolivia,BOL,2014,5.46056950635136
Brazil,BRA,2014,0.503955740242247
Chile,CHL,2014,1.79264947361806
Colombia,COL,2014,4.49903000110972
Ecuador,ECU,2014,4.22606520388456
Guyana,GUY,2014,1.68649445019584
Peru,PER,2014,2.38215737180541
Paraguay,PRY,2014,5.30123859237025
Suriname,SUR,2014,0.255503031645475
Uruguay,URY,2014,3.23879122952364
"Venezuela, RB",VEN,2014,-3.89438647450662
Argentina,ARG,2015,2.73115982828944
Bolivia,BOL,2015,4.85718717971413
Brazil,BRA,2015,-3.54576339269425
Chile,CHL,2015,2.15194249853634
Colombia,COL,2015,2.95590137527523
Ecuador,ECU,2015,0.119692109287612
Guyana,GUY,2015,0.687404590619494
Peru,PER,2015,3.25224477218451
Paraguay,PRY,2015,2.95715173487106
Suriname,SUR,2015,-3.41304268067621
Uruguay,URY,2015,0.370741257681345
"Venezuela, RB",VEN,2015,0.0
Argentina,ARG,2016,-2.08032784377811
Bolivia,BOL,2016,4.26392086382113
Brazil,BRA,2016,-3.27591690782192
Chile,CHL,2016,1.75303874553305
Colombia,COL,2016,2.08738250162794
Ecuador,ECU,2016,-0.687954245877947
Guyana,GUY,2016,3.80745626378814
Peru,PER,2016,3.95331871520767
Paraguay,PRY,2016,4.26802583314583
Suriname,SUR,2016,-4.91166050905851
Uruguay,URY,2016,1.68979815933486
"Venezuela, RB",VEN,2016,0.0
Argentina,ARG,2017,2.81850297775918
Bolivia,BOL,2017,4.19520633360395
Brazil,BRA,2017,1.32286905404399
Chile,CHL,2017,1.35769537797211
Colombia,COL,2017,1.35936086788746
Ecuador,ECU,2017,5.97039880954841
Guyana,GUY,2017,3.73449154571284
Peru,PER,2017,2.51883544233135
Paraguay,PRY,2017,4.81007885554041
Suriname,SUR,2017,1.56603782534897
Uruguay,URY,2017,1.74037649262446
"Venezuela, RB",VEN,2017,0.0
Argentina,ARG,2018,-2.61739646282038
Bolivia,BOL,2018,4.22362365271844
Brazil,BRA,2018,1.783666761634
Chile,CHL,2018,3.99002947521676
Colombia,COL,2018,2.56432428277704
Ecuador,ECU,2018,1.044295546927
Guyana,GUY,2018,4.44091288475967
Peru,PER,2018,3.969351341365
Paraguay,PRY,2018,3.20425034076639
Suriname,SUR,2018,4.94827108468886
Uruguay,URY,2018,0.164518266525505
"Venezuela, RB",VEN,2018,0.0
Argentina,ARG,2019,-2.00086100285785
Bolivia,BOL,2019,2.21670563961031
Brazil,BRA,2019,1.22077782360842
Chile,CHL,2019,0.634367533828438
Colombia,COL,2019,3.18685539245533
Ecuador,ECU,2019,0.165403532646692
Guyana,GUY,2019,5.35284003535665
Peru,PER,2019,2.24063176875049
Paraguay,PRY,2019,-0.40185510068001
Suriname,SUR,2019,1.16758977233877
Uruguay,URY,2019,0.928565543252915
"Venezuela, RB",VEN,2019,0.0
Argentina,ARG,2020,-9.9004848136464
Bolivia,BOL,2020,-8.7378843576993
Brazil,BRA,2020,-3.2767587964736
Chile,CHL,2020,-6.14347479224092
Colombia,COL,2020,-7.18591413760859
Ecuador,ECU,2020,-9.24509637743429
Guyana,GUY,2020,43.479651716849
Peru,PER,2020,-10.9333065010382
Paraguay,PRY,2020,-0.819785390971916
Suriname,SUR,2020,-15.9751917148622
Uruguay,URY,2020,-7.38009884092411
"Venezuela, RB",VEN,2020,0.0
Argentina,ARG,2021,10.7180099337095
Bolivia,BOL,2021,6.11137269714146
Brazil,BRA,2021,4.76260437908608
Chile,CHL,2021,11.3339570691911
Colombia,COL,2021,10.8011981904878
Ecuador,ECU,2021,9.818417748417
Guyana,GUY,2021,20.0075297334354
Peru,PER,2021,13.3552295093079
Paraguay,PRY,2021,4.01673731780312
Suriname,SUR,2021,-2.43538583612838
Uruguay,URY,2021,5.56189279343275
"Venezuela, RB",VEN,2021,0.0
Argentina,ARG,2022,4.95636996008236
Bolivia,BOL,2022,3.60568042633635
Brazil,BRA,2022,3.01669435393015
Chile,CHL,2022,2.05874008095333
Colombia,COL,2022,7.2888838865514
Ecuador,ECU,2022,6.18613907258741
Guyana,GUY,2022,63.4398643665041
Peru,PER,2022,2.72550021563363
Paraguay,PRY,2022,0.176038366132886
Suriname,SUR,2022,2.43372370900539
Uruguay,URY,2022,4.70725761465232
"Venezuela, RB",VEN,2022,0.0
Argentina,ARG,2023,-1.55050153620256
Bolivia,BOL,2023,2.44347191830776
Brazil,BRA,2023,2.90848048667777
Chile,CHL,2023,0.218780666901552
Colombia,COL,2023,0.612181322079849
Ecuador,ECU,2023,2.35521790742197
Guyana,GUY,2023,33.0168829873529
Peru,PER,2023,-0.55018230632048
Paraguay,PRY,2023,4.71412407945468
Suriname,SUR,2023,2.07545911217966
Uruguay,URY,2023,0.3674751756175
"Venezuela, RB",VEN,2023,0.0
